CRI,CSR,＜10mm,16-10mm,25-16mm,40-25mm,60-40mm,80-60mm,>80mm,PARTICAL
26.34,63.3,2.56,0.17,0.34,17.06,60.07,17.07,2.73,50.2
26.34,63.3,2.56,0.17,0.34,17.06,60.07,17.07,2.73,50.2
